type	subtype	n_spacer_hits	n_unique_spacers	n_unique_phages	n_systems_hit	median_norm_pos
Anti_CRISPR	acrie3	2098	75	36	36	0.15
Anti_CRISPR	acrif3	1131	55	31	31	0.165
Anti_CRISPR	acrif4	1078	37	33	33	0.154
Anti_CRISPR	acrif23	632	393	3	3	0.491
Anti_CRISPR	acrif5	574	34	17	17	0.167
Anti_CRISPR	acrif2_c2	421	37	14	14	0.155
Anti_CRISPR	acrie2	311	47	8	8	0.164
Anti_CBASS	acb1	304	304	1	1	0.057
Anti_CRISPR	acrie1	270	90	3	3	0.141
Anti_CRISPR	acrif1	197	28	8	8	0.149
Anti_CRISPR	acrif7	177	39	8	8	0.149
Anti_CRISPR	acrif24	174	150	3	3	0.469
Anti_CRISPR	vcrx091_093	146	57	6	6	0.672
Anti_RM	mom	106	18	6	6	0.653
Anti_CRISPR	Aca_alone	32	32	1	1	0.761
Anti_Dnd	Adnd_p0020_p0021	12	8	7	7	0.795
Anti_CRISPR	acric3	7	7	1	1	0.454
Anti_CRISPR	acric4	7	7	1	1	0.454
